,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,13.33%,0%,20%,13.33%,26.67%,6.67%
agree,33.33%,40%,26.67%,40%,20%,40%
neutral,26.67%,20%,40%,20%,26.67%,20%
disagree,13.33%,26.67%,6.67%,20%,20%,26.67%
strongly_disagree,13.33%,13.33%,0%,6.67%,6.67%,6.67%
na,0%,0%,6.67%,0%,0%,0%
responses,15.,15.,15.,15.,15.,15.
