,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,31.71%,23.81%,23.81%,28.57%,28.57%,16.67%
agree,31.71%,30.95%,47.62%,45.24%,40.48%,38.1%
neutral,17.07%,16.67%,11.9%,11.9%,9.52%,26.19%
disagree,7.32%,19.05%,4.76%,7.14%,9.52%,11.9%
strongly_disagree,2.44%,2.38%,2.38%,0%,4.76%,0%
na,9.76%,7.14%,9.52%,7.14%,7.14%,7.14%
responses,41.,42.,42.,42.,42.,42.
