,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,26.17%,25.93%,23.15%,32.71%,41.12%,23.15%
agree,44.86%,38.89%,35.19%,43.93%,36.45%,35.19%
neutral,22.43%,26.85%,34.26%,17.76%,21.5%,30.56%
disagree,1.87%,4.63%,2.78%,3.74%,0.93%,5.56%
strongly_disagree,3.74%,3.7%,2.78%,1.87%,0%,5.56%
na,0.93%,0%,1.85%,0%,0%,0%
responses,107.,108.,108.,107.,107.,108.
