,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,65.79%,56.76%,68.42%,57.89%,55.26%,44.74%
agree,26.32%,29.73%,26.32%,31.58%,34.21%,31.58%
neutral,5.26%,10.81%,2.63%,10.53%,7.89%,15.79%
disagree,0%,0%,2.63%,0%,2.63%,2.63%
strongly_disagree,2.63%,2.7%,0%,0%,0%,5.26%
na,0%,0%,0%,0%,0%,0%
responses,38.,37.,38.,38.,38.,38.
