,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,4.17%,7.29%,11.46%,16.13%,9.38%,6.25%
agree,11.46%,17.71%,22.92%,30.11%,14.58%,26.04%
neutral,13.54%,29.17%,28.12%,26.88%,19.79%,38.54%
disagree,22.92%,21.88%,10.42%,13.98%,20.83%,12.5%
strongly_disagree,47.92%,22.92%,21.88%,12.9%,34.38%,16.67%
na,0%,1.04%,5.21%,0%,1.04%,0%
responses,96.,96.,96.,93.,96.,96.
