,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,57.47%,56.98%,51.16%,50.57%,60%,57.47%
agree,31.03%,29.07%,30.23%,36.78%,28.24%,31.03%
neutral,8.05%,10.47%,15.12%,10.34%,9.41%,8.05%
disagree,2.3%,1.16%,2.33%,1.15%,2.35%,3.45%
strongly_disagree,1.15%,2.33%,1.16%,1.15%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,87.,86.,86.,87.,85.,87.
