,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,52.78%,70.27%,54.05%,59.46%,55.56%,72.97%
agree,25%,10.81%,18.92%,29.73%,30.56%,16.22%
neutral,11.11%,8.11%,16.22%,8.11%,8.33%,10.81%
disagree,8.33%,8.11%,2.7%,0%,2.78%,0%
strongly_disagree,2.78%,2.7%,2.7%,2.7%,2.78%,0%
na,0%,0%,5.41%,0%,0%,0%
responses,36.,37.,37.,37.,36.,37.
