,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,39.41%,33.02%,30.26%,38.54%,46.32%,28.45%
agree,36.04%,33.49%,26.4%,39.8%,35.05%,30.41%
neutral,18.84%,25.31%,27.03%,17.82%,14.95%,29.86%
disagree,2.42%,4.95%,6.62%,1.73%,1.88%,7.13%
strongly_disagree,0.94%,2.04%,2.68%,1.02%,0.94%,3.13%
na,2.35%,1.18%,7.01%,1.1%,0.86%,1.02%
responses,1279.,1272.,1269.,1274.,1278.,1276.
