,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,58.77%,41.23%,54.39%,57.89%,58.41%,36.84%
agree,30.7%,34.21%,30.7%,35.09%,34.51%,25.44%
neutral,9.65%,19.3%,12.28%,6.14%,7.08%,23.68%
disagree,0%,3.51%,0%,0.88%,0%,9.65%
strongly_disagree,0.88%,1.75%,0%,0%,0%,4.39%
na,0%,0%,2.63%,0%,0%,0%
responses,114.,114.,114.,114.,113.,114.
