,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,45.57%,41.77%,42.31%,51.9%,51.9%,42.5%
agree,31.65%,31.65%,20.51%,24.05%,24.05%,23.75%
neutral,15.19%,15.19%,23.08%,15.19%,15.19%,21.25%
disagree,5.06%,5.06%,10.26%,6.33%,6.33%,7.5%
strongly_disagree,1.27%,5.06%,1.28%,1.27%,1.27%,3.75%
na,1.27%,1.27%,2.56%,1.27%,1.27%,1.25%
responses,79.,79.,78.,79.,79.,80.
