,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,58.9%,52.86%,50.68%,58.33%,54.79%,54.79%
agree,26.03%,27.14%,30.14%,30.56%,27.4%,21.92%
neutral,6.85%,12.86%,9.59%,8.33%,8.22%,9.59%
disagree,4.11%,2.86%,1.37%,1.39%,5.48%,8.22%
strongly_disagree,2.74%,2.86%,0%,0%,2.74%,5.48%
na,1.37%,1.43%,8.22%,1.39%,1.37%,0%
responses,73.,70.,73.,72.,73.,73.
