,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,75%,66.67%,66.67%,75%,75%,66.67%
agree,25%,16.67%,33.33%,25%,16.67%,8.33%
neutral,0%,16.67%,0%,0%,8.33%,25%
disagree,0%,0%,0%,0%,0%,0%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,12.,12.,12.,12.,12.,12.
