,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,46.43%,50%,51.72%,37.93%,55.17%,51.72%
agree,50%,39.29%,34.48%,31.03%,24.14%,44.83%
neutral,3.57%,7.14%,10.34%,13.79%,17.24%,3.45%
disagree,0%,0%,3.45%,10.34%,3.45%,0%
strongly_disagree,0%,3.57%,0%,6.9%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,28.,28.,29.,29.,29.,29.
