,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,59.21%,54.25%,56.86%,57.79%,61.04%,50.33%
agree,32.89%,37.91%,35.29%,36.36%,33.12%,39.22%
neutral,5.92%,3.92%,7.19%,4.55%,5.19%,7.84%
disagree,1.32%,3.27%,0%,0.65%,0%,1.96%
strongly_disagree,0.66%,0.65%,0%,0.65%,0.65%,0.65%
na,0%,0%,0.65%,0%,0%,0%
responses,152.,153.,153.,154.,154.,153.
