,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,60%,40%,40%,40%,40%,60%
agree,0%,40%,20%,20%,20%,0%
neutral,0%,0%,40%,0%,0%,20%
disagree,20%,20%,0%,0%,20%,20%
strongly_disagree,20%,0%,0%,40%,20%,0%
na,0%,0%,0%,0%,0%,0%
responses,5.,5.,5.,5.,5.,5.
