,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,55.56%,45.59%,55.56%,48.61%,44.44%,38.89%
agree,33.33%,36.76%,30.56%,37.5%,36.11%,31.94%
neutral,9.72%,13.24%,11.11%,9.72%,15.28%,20.83%
disagree,0%,2.94%,1.39%,4.17%,2.78%,6.94%
strongly_disagree,0%,1.47%,0%,0%,1.39%,1.39%
na,1.39%,0%,1.39%,0%,0%,0%
responses,72.,68.,72.,72.,72.,72.
