,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,7.69%,41.67%,15.38%,21.43%,14.29%,50%
agree,23.08%,41.67%,23.08%,64.29%,71.43%,50%
neutral,15.38%,8.33%,7.69%,0%,0%,0%
disagree,0%,8.33%,0%,14.29%,7.14%,0%
strongly_disagree,0%,0%,0%,0%,7.14%,0%
na,53.85%,0%,53.85%,0%,0%,0%
responses,13.,12.,13.,14.,14.,14.
