,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,59.46%,52.78%,67.57%,62.16%,64.86%,56.76%
agree,35.14%,33.33%,29.73%,37.84%,27.03%,27.03%
neutral,5.41%,11.11%,2.7%,0%,8.11%,10.81%
disagree,0%,0%,0%,0%,0%,5.41%
strongly_disagree,0%,2.78%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,37.,36.,37.,37.,37.,37.
