,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,74.07%,66.67%,66.67%,55.56%,70.37%,62.96%
agree,22.22%,14.81%,29.63%,22.22%,22.22%,25.93%
neutral,0%,7.41%,0%,7.41%,3.7%,7.41%
disagree,3.7%,11.11%,3.7%,7.41%,3.7%,3.7%
strongly_disagree,0%,0%,0%,7.41%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,27.,27.,27.,27.,27.,27.
