,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,40%,37.14%,51.43%,48.57%,40%,42.86%
agree,34.29%,28.57%,28.57%,31.43%,28.57%,31.43%
neutral,17.14%,14.29%,11.43%,14.29%,17.14%,20%
disagree,5.71%,14.29%,2.86%,5.71%,11.43%,2.86%
strongly_disagree,2.86%,5.71%,0%,0%,2.86%,2.86%
na,0%,0%,5.71%,0%,0%,0%
responses,35.,35.,35.,35.,35.,35.
