,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,66.67%,53.33%,80%,66.67%,60%,50%
agree,33.33%,43.33%,20%,23.33%,33.33%,40%
neutral,0%,3.33%,0%,10%,6.67%,6.67%
disagree,0%,0%,0%,0%,0%,3.33%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,30.,30.,30.,30.,30.,30.
