,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,43.48%,47.83%,43.48%,43.48%,39.13%,43.48%
agree,34.78%,21.74%,43.48%,39.13%,21.74%,26.09%
neutral,4.35%,4.35%,8.7%,13.04%,21.74%,13.04%
disagree,8.7%,13.04%,0%,0%,8.7%,8.7%
strongly_disagree,8.7%,13.04%,0%,0%,8.7%,8.7%
na,0%,0%,4.35%,4.35%,0%,0%
responses,23.,23.,23.,23.,23.,23.
