,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,50%,28.57%,35.71%,35.71%,50%,21.43%
agree,42.86%,42.86%,50%,28.57%,35.71%,28.57%
neutral,7.14%,21.43%,14.29%,14.29%,14.29%,35.71%
disagree,0%,7.14%,0%,21.43%,0%,0%
strongly_disagree,0%,0%,0%,0%,0%,14.29%
na,0%,0%,0%,0%,0%,0%
responses,14.,14.,14.,14.,14.,14.
