,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,47.22%,40.74%,37.96%,33.03%,48.62%,47.71%
agree,32.41%,41.67%,24.07%,37.61%,34.86%,39.45%
neutral,7.41%,9.26%,17.59%,10.09%,11.01%,10.09%
disagree,6.48%,4.63%,7.41%,13.76%,4.59%,0.92%
strongly_disagree,4.63%,2.78%,4.63%,4.59%,0%,0.92%
na,1.85%,0.93%,8.33%,0.92%,0.92%,0.92%
responses,108.,108.,108.,109.,109.,109.
