,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,62.5%,58.33%,51.06%,54.17%,52.08%,58.33%
agree,27.08%,18.75%,27.66%,35.42%,31.25%,31.25%
neutral,8.33%,14.58%,12.77%,8.33%,14.58%,6.25%
disagree,2.08%,8.33%,2.13%,2.08%,0%,2.08%
strongly_disagree,0%,0%,4.26%,0%,2.08%,2.08%
na,0%,0%,2.13%,0%,0%,0%
responses,48.,48.,47.,48.,48.,48.
