,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,50%,50%,68.75%,43.75%,50%,75%
agree,43.75%,31.25%,31.25%,43.75%,12.5%,18.75%
neutral,0%,6.25%,0%,6.25%,12.5%,0%
disagree,6.25%,12.5%,0%,0%,25%,6.25%
strongly_disagree,0%,0%,0%,6.25%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,16.,16.,16.,16.,16.,16.
