,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,42.45%,40.29%,35.51%,41.18%,43.8%,35.97%
agree,38.85%,36.69%,40.58%,42.65%,40.15%,41.73%
neutral,15.83%,20.86%,21.01%,13.97%,14.6%,18.71%
disagree,2.16%,1.44%,0%,1.47%,1.46%,2.16%
strongly_disagree,0.72%,0.72%,0.72%,0.74%,0%,1.44%
na,0%,0%,2.17%,0%,0%,0%
responses,139.,139.,138.,136.,137.,139.
