,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,15.91%,14.77%,16%,13.64%,17.82%,13.64%
agree,30.11%,28.98%,40.57%,36.93%,36.21%,30.11%
neutral,23.3%,23.86%,28%,22.73%,28.74%,31.25%
disagree,18.18%,21.59%,6.86%,14.2%,10.92%,13.07%
strongly_disagree,10.8%,9.66%,4%,11.36%,5.17%,10.8%
na,1.7%,1.14%,4.57%,1.14%,1.15%,1.14%
responses,176.,176.,175.,176.,174.,176.
