,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,70%,60%,80%,60%,60%,50%
agree,20%,20%,0%,30%,40%,50%
neutral,10%,20%,20%,10%,0%,0%
disagree,0%,0%,0%,0%,0%,0%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,10.,10.,10.,10.,10.,10.
