,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,25%,25%,25%,12.5%,12.5%,12.5%
agree,37.5%,12.5%,12.5%,25%,37.5%,37.5%
neutral,0%,0%,25%,25%,25%,25%
disagree,0%,50%,25%,25%,0%,0%
strongly_disagree,37.5%,12.5%,12.5%,12.5%,25%,25%
na,0%,0%,0%,0%,0%,0%
responses,8.,8.,8.,8.,8.,8.
