,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,53.85%,38.46%,53.85%,30.77%,46.15%,23.08%
agree,38.46%,46.15%,38.46%,46.15%,53.85%,46.15%
neutral,0%,0%,7.69%,7.69%,0%,15.38%
disagree,7.69%,15.38%,0%,15.38%,0%,15.38%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,13.,13.,13.,13.,13.,13.
