,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,53.57%,39.29%,44.44%,39.29%,50%,28.57%
agree,32.14%,46.43%,37.04%,35.71%,32.14%,46.43%
neutral,3.57%,3.57%,11.11%,10.71%,10.71%,17.86%
disagree,7.14%,7.14%,0%,7.14%,3.57%,7.14%
strongly_disagree,0%,3.57%,3.7%,3.57%,3.57%,0%
na,3.57%,0%,3.7%,3.57%,0%,0%
responses,28.,28.,27.,28.,28.,28.
