,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,53.03%,32.26%,56.72%,44.78%,26.87%,22.39%
agree,30.3%,43.55%,31.34%,34.33%,41.79%,35.82%
neutral,7.58%,8.06%,8.96%,7.46%,17.91%,20.9%
disagree,3.03%,9.68%,0%,8.96%,7.46%,14.93%
strongly_disagree,6.06%,6.45%,1.49%,4.48%,5.97%,4.48%
na,0%,0%,1.49%,0%,0%,1.49%
responses,66.,62.,67.,67.,67.,67.
