,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,55.33%,43.33%,44.67%,43.33%,47.65%,34.9%
agree,29.33%,29.33%,35.33%,39.33%,39.6%,23.49%
neutral,12.67%,15.33%,13.33%,12.67%,10.07%,25.5%
disagree,0.67%,8%,3.33%,3.33%,2.01%,7.38%
strongly_disagree,2%,4%,0.67%,1.33%,0.67%,8.72%
na,0%,0%,2.67%,0%,0%,0%
responses,150.,150.,150.,150.,149.,149.
