,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,66.67%,66.67%,80%,47.62%,57.14%,52.38%
agree,23.81%,14.29%,10%,33.33%,19.05%,28.57%
neutral,4.76%,14.29%,10%,9.52%,19.05%,14.29%
disagree,4.76%,4.76%,0%,9.52%,4.76%,4.76%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,21.,21.,20.,21.,21.,21.
