,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,23.08%,15.38%,15.38%,15.38%,15.38%,15.38%
agree,38.46%,23.08%,38.46%,46.15%,46.15%,30.77%
neutral,38.46%,30.77%,46.15%,30.77%,38.46%,38.46%
disagree,0%,23.08%,0%,7.69%,0%,0%
strongly_disagree,0%,7.69%,0%,0%,0%,15.38%
na,0%,0%,0%,0%,0%,0%
responses,13.,13.,13.,13.,13.,13.
