,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,51.52%,46.97%,56.06%,43.94%,43.94%,53.03%
agree,34.85%,36.36%,31.82%,42.42%,36.36%,30.3%
neutral,10.61%,13.64%,10.61%,12.12%,12.12%,13.64%
disagree,0%,1.52%,0%,0%,4.55%,1.52%
strongly_disagree,3.03%,1.52%,1.52%,1.52%,3.03%,1.52%
na,0%,0%,0%,0%,0%,0%
responses,66.,66.,66.,66.,66.,66.
