,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,65.52%,58.62%,58.62%,55.17%,62.07%,51.72%
agree,20.69%,27.59%,31.03%,34.48%,31.03%,27.59%
neutral,10.34%,6.9%,3.45%,3.45%,3.45%,6.9%
disagree,0%,3.45%,0%,3.45%,0%,10.34%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,3.45%,3.45%,6.9%,3.45%,3.45%,3.45%
responses,29.,29.,29.,29.,29.,29.
