,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,21.67%,18.33%,28.33%,27.12%,20%,28.33%
agree,45%,50%,38.33%,50.85%,38.33%,51.67%
neutral,16.67%,18.33%,18.33%,13.56%,18.33%,15%
disagree,13.33%,11.67%,8.33%,6.78%,18.33%,1.67%
strongly_disagree,3.33%,1.67%,5%,1.69%,5%,3.33%
na,0%,0%,1.67%,0%,0%,0%
responses,60.,60.,60.,59.,60.,60.
