,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,23.33%,41.38%,17.24%,24.14%,28.57%,27.59%
agree,6.67%,27.59%,6.9%,37.93%,25%,34.48%
neutral,26.67%,24.14%,34.48%,24.14%,32.14%,34.48%
disagree,6.67%,0%,3.45%,10.34%,3.57%,0%
strongly_disagree,3.33%,6.9%,3.45%,3.45%,10.71%,3.45%
na,33.33%,0%,34.48%,0%,0%,0%
responses,30.,29.,29.,29.,28.,29.
