,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,53.62%,42.65%,46.38%,46.38%,52.94%,43.48%
agree,30.43%,32.35%,40.58%,39.13%,35.29%,26.09%
neutral,13.04%,23.53%,10.14%,14.49%,11.76%,27.54%
disagree,2.9%,1.47%,1.45%,0%,0%,1.45%
strongly_disagree,0%,0%,0%,0%,0%,1.45%
na,0%,0%,1.45%,0%,0%,0%
responses,69.,68.,69.,69.,68.,69.
