,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,75%,75%,83.33%,83.33%,83.33%,83.33%
agree,16.67%,16.67%,8.33%,0%,0%,0%
neutral,8.33%,8.33%,8.33%,16.67%,16.67%,16.67%
disagree,0%,0%,0%,0%,0%,0%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,12.,12.,12.,12.,12.,12.
