,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,53.85%,30.77%,30.77%,30.77%,30.77%,15.38%
agree,23.08%,23.08%,38.46%,30.77%,38.46%,30.77%
neutral,15.38%,30.77%,30.77%,30.77%,30.77%,38.46%
disagree,7.69%,7.69%,0%,7.69%,0%,15.38%
strongly_disagree,0%,7.69%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,13.,13.,13.,13.,13.,13.
