,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,22.22%,22.86%,32.35%,22.86%,25.71%,20%
agree,47.22%,31.43%,44.12%,54.29%,45.71%,48.57%
neutral,16.67%,28.57%,14.71%,14.29%,17.14%,28.57%
disagree,8.33%,11.43%,5.88%,5.71%,8.57%,2.86%
strongly_disagree,5.56%,5.71%,0%,2.86%,2.86%,0%
na,0%,0%,2.94%,0%,0%,0%
responses,36.,35.,34.,35.,35.,35.
