,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,72%,64%,72%,56%,68%,40%
agree,28%,24%,24%,28%,32%,16%
neutral,0%,12%,0%,16%,0%,28%
disagree,0%,0%,0%,0%,0%,8%
strongly_disagree,0%,0%,0%,0%,0%,8%
na,0%,0%,4%,0%,0%,0%
responses,25.,25.,25.,25.,25.,25.
