,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,52.38%,40%,45.24%,38.1%,38.1%,42.86%
agree,35.71%,30%,38.1%,42.86%,33.33%,26.19%
neutral,4.76%,15%,9.52%,2.38%,14.29%,16.67%
disagree,2.38%,5%,2.38%,9.52%,9.52%,7.14%
strongly_disagree,4.76%,10%,2.38%,7.14%,4.76%,7.14%
na,0%,0%,2.38%,0%,0%,0%
responses,42.,40.,42.,42.,42.,42.
