,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,56.52%,56.52%,52.17%,41.3%,39.13%,43.48%
agree,28.26%,28.26%,30.43%,34.78%,32.61%,34.78%
neutral,8.7%,8.7%,13.04%,15.22%,17.39%,17.39%
disagree,2.17%,4.35%,0%,2.17%,4.35%,2.17%
strongly_disagree,4.35%,2.17%,4.35%,6.52%,6.52%,2.17%
na,0%,0%,0%,0%,0%,0%
responses,46.,46.,46.,46.,46.,46.
