,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,72.22%,55.56%,61.11%,61.11%,55.56%,61.11%
agree,16.67%,27.78%,38.89%,22.22%,27.78%,27.78%
neutral,5.56%,5.56%,0%,16.67%,5.56%,11.11%
disagree,0%,0%,0%,0%,11.11%,0%
strongly_disagree,5.56%,11.11%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,18.,18.,18.,18.,18.,18.
