,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,31.43%,31.43%,31.43%,31.43%,28.57%,22.86%
agree,37.14%,42.86%,45.71%,40%,34.29%,40%
neutral,17.14%,14.29%,11.43%,22.86%,17.14%,25.71%
disagree,11.43%,8.57%,5.71%,2.86%,14.29%,5.71%
strongly_disagree,2.86%,2.86%,2.86%,2.86%,5.71%,5.71%
na,0%,0%,2.86%,0%,0%,0%
responses,35.,35.,35.,35.,35.,35.
