,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,25.93%,26.92%,37.04%,29.63%,22.22%,55.56%
agree,29.63%,23.08%,33.33%,25.93%,37.04%,33.33%
neutral,14.81%,19.23%,14.81%,25.93%,11.11%,11.11%
disagree,14.81%,11.54%,7.41%,7.41%,18.52%,0%
strongly_disagree,14.81%,19.23%,3.7%,7.41%,11.11%,0%
na,0%,0%,3.7%,3.7%,0%,0%
responses,27.,26.,27.,27.,27.,27.
