,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,24.1%,15.85%,14.63%,33.73%,25.3%,14.46%
agree,33.73%,28.05%,36.59%,43.37%,38.55%,27.71%
neutral,26.51%,28.05%,28.05%,18.07%,21.69%,33.73%
disagree,10.84%,13.41%,14.63%,2.41%,10.84%,16.87%
strongly_disagree,3.61%,13.41%,0%,1.2%,2.41%,6.02%
na,1.2%,1.22%,6.1%,1.2%,1.2%,1.2%
responses,83.,82.,82.,83.,83.,83.
