,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,50%,48.72%,60%,45%,45%,37.5%
agree,35%,28.21%,32.5%,32.5%,37.5%,25%
neutral,12.5%,17.95%,7.5%,20%,15%,27.5%
disagree,2.5%,2.56%,0%,2.5%,2.5%,10%
strongly_disagree,0%,2.56%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,40.,39.,40.,40.,40.,40.
