,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,90%,75%,60%,80%,75%,68.42%
agree,10%,25%,35%,20%,15%,31.58%
neutral,0%,0%,5%,0%,5%,0%
disagree,0%,0%,0%,0%,5%,0%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,20.,20.,20.,20.,20.,19.
