,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,70%,60%,68.42%,65%,65%,65%
agree,25%,30%,15.79%,25%,30%,25%
neutral,0%,5%,15.79%,5%,0%,10%
disagree,0%,0%,0%,5%,5%,0%
strongly_disagree,5%,5%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,20.,20.,19.,20.,20.,20.
