,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,40%,40%,53.85%,40%,46.67%,60%
agree,53.33%,46.67%,46.15%,20%,40%,20%
neutral,6.67%,13.33%,0%,40%,13.33%,20%
disagree,0%,0%,0%,0%,0%,0%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,15.,15.,13.,15.,15.,15.
