,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,65.26%,72.63%,50.53%,48.94%,55.91%,67.37%
agree,30.53%,24.21%,33.68%,35.11%,35.48%,26.32%
neutral,4.21%,3.16%,8.42%,12.77%,6.45%,5.26%
disagree,0%,0%,0%,3.19%,1.08%,0%
strongly_disagree,0%,0%,0%,0%,1.08%,0%
na,0%,0%,7.37%,0%,0%,1.05%
responses,95.,95.,95.,94.,93.,95.
