,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,63.79%,60.34%,60.34%,59.65%,63.79%,65.52%
agree,25.86%,29.31%,24.14%,29.82%,25.86%,25.86%
neutral,8.62%,8.62%,13.79%,7.02%,6.9%,6.9%
disagree,0%,0%,0%,1.75%,0%,0%
strongly_disagree,0%,0%,0%,0%,1.72%,0%
na,1.72%,1.72%,1.72%,1.75%,1.72%,1.72%
responses,58.,58.,58.,57.,58.,58.
