,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,70.59%,70.59%,64.71%,61.11%,70.59%,76.47%
agree,17.65%,17.65%,23.53%,16.67%,17.65%,11.76%
neutral,5.88%,5.88%,5.88%,11.11%,5.88%,11.76%
disagree,0%,0%,0%,0%,0%,0%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,5.88%,5.88%,5.88%,11.11%,5.88%,0%
responses,17.,17.,17.,18.,17.,17.
