,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,10.17%,13.56%,27.12%,10.17%,10.17%,10.17%
agree,33.9%,20.34%,42.37%,32.2%,33.9%,16.95%
neutral,35.59%,27.12%,25.42%,30.51%,30.51%,16.95%
disagree,11.86%,27.12%,1.69%,20.34%,16.95%,25.42%
strongly_disagree,6.78%,10.17%,1.69%,6.78%,6.78%,28.81%
na,1.69%,1.69%,1.69%,0%,1.69%,1.69%
responses,59.,59.,59.,59.,59.,59.
