,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,36.96%,40.91%,45.65%,23.4%,40.43%,40.43%
agree,17.39%,40.91%,28.26%,51.06%,42.55%,44.68%
neutral,21.74%,13.64%,15.22%,17.02%,8.51%,8.51%
disagree,0%,4.55%,0%,6.38%,6.38%,6.38%
strongly_disagree,2.17%,0%,0%,2.13%,2.13%,0%
na,21.74%,0%,10.87%,0%,0%,0%
responses,46.,44.,46.,47.,47.,47.
