,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,44.44%,44.44%,61.11%,33.33%,50%,38.89%
agree,44.44%,38.89%,38.89%,55.56%,50%,55.56%
neutral,5.56%,11.11%,0%,5.56%,0%,0%
disagree,5.56%,5.56%,0%,5.56%,0%,5.56%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,18.,18.,18.,18.,18.,18.
