,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,78.57%,78.57%,92.86%,57.14%,71.43%,57.14%
agree,21.43%,14.29%,7.14%,21.43%,21.43%,21.43%
neutral,0%,0%,0%,14.29%,7.14%,7.14%
disagree,0%,7.14%,0%,7.14%,0%,7.14%
strongly_disagree,0%,0%,0%,0%,0%,7.14%
na,0%,0%,0%,0%,0%,0%
responses,14.,14.,14.,14.,14.,14.
