,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,65.62%,42.42%,58.06%,42.42%,54.55%,36.36%
agree,21.88%,33.33%,12.9%,33.33%,30.3%,42.42%
neutral,9.38%,15.15%,19.35%,18.18%,15.15%,15.15%
disagree,0%,3.03%,0%,3.03%,0%,3.03%
strongly_disagree,0%,6.06%,0%,3.03%,0%,3.03%
na,3.12%,0%,9.68%,0%,0%,0%
responses,32.,33.,31.,33.,33.,33.
