,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,23.53%,23.53%,11.76%,17.65%,17.65%,35.29%
agree,23.53%,5.88%,17.65%,11.76%,17.65%,5.88%
neutral,29.41%,41.18%,41.18%,41.18%,41.18%,35.29%
disagree,0%,11.76%,0%,11.76%,11.76%,5.88%
strongly_disagree,17.65%,11.76%,11.76%,11.76%,5.88%,11.76%
na,5.88%,5.88%,17.65%,5.88%,5.88%,5.88%
responses,17.,17.,17.,17.,17.,17.
